name,address,town,postcode,phone,website,attended_price,cremation_price,nafd_member,saif_member,verified
D J Prothero and Sons,"Riverside Funeral Home, 1 Nanygwenith, Georgeatown",Merthyr Tydfil,CF48 1DE,01685 385842,http://www.djprotheroeandsons.co.uk,2300,1500,,,true
The Harp Funeral Home,Swansea Road,Merthyr Tydfil,CF48 3SH,01685 385538,http://www.harpfunerals.co.uk,2600,1645,false,false,true
Caradoc Price Funeral Directors,,Merthyr Tydfil,,01685 723797,https://www.caradocpricefuneraldirectors.com,1790,850,,,true
Penybont Funeral Services,Meadow St,Bridgend,CF31 1HE,01656 650831,https://www.penybontfuneralservices.co.uk,2145,1900,false,false,true
Fosters Funeral Directors,,Edinburgh,,0800 121 8090,https://www.fostersfuneraldirectors.com,,1585,false,false,true
McGillivray Funeral Directors,139-141 Restalrig Road,Edinburgh,EH7 6HW,0131 554 7777,http://johnmcg-funeral-directors.co.uk,2585,1400,,,true
Scotmid Funerals,,Edinburgh,,0800 996 1927,https://scotmidfunerals.coop,2099,1399,false,false,true
Glasgow Independent Funeralcare,865 Shettleston Road,Glasgow,G32 7NS,0141 739 3999,http://www.glasgowfunerals.co.uk,1251,699,false,false,true
Mitchells Funeral Directors Ltd,,Glasgow,,0141 647 3040,https://mitchellsfunerals.co.uk,2500,1975,false,false,true
Shaw Funerals,347 George Street,Aberdeen,AB25 1EQ,01224 640008,https://www.shawfunerals.co.uk,,1475,false,false,true
James Ashton & Son Ltd,1a Cardean Street,Dundee,DD4 6PS,01382 452110,https://jamesashton.co.uk,2510,1475,,,true
Millar Family Funeral Directors,12 Graham Street,Dundee,DD4 9AH,01382 827000,https://www.millarfamilyfuneraldirectors.com,,1150,false,false,true
Sturrock Comb & Davidson,102 St Vincent Street,Dundee,DD5 2EY,01382 770 500,https://dundeefunerals.co.uk,2100,1395,false,false,true
William T Fraser & Son,Culduthel Road,Inverness,IV2 6AB,01463 243232,http://williamtfraserandson.co.uk,2550,,false,false,true
James McEwan & Son,52 George Street,Perth,PH1 5JL,(01738) 625362,https://www.funeraldirectorsperth.co.uk,2850,950,,,true
James Carcary Funeral Directors,104-106 Canal Street,Perth,PH2 8HX,01738 633285,https://www.perthfuneraldirectors.co.uk,2770,1975,false,true,true
David Henderson-Lloyd,"Cemetery Lodge, Bruce St",Stirling,FK7 8LF,01786 813231,https://davidhendersonlloyd.co.uk,2525,585,false,false,true
Andrew Anderson & Sons Funeral Directors,90 Drip Road,Stirling,FK8 1RN,01786 237480,http://www.andersonfunerals.co.uk,2865,525,true,true,true
Healy Brothers,,Belfast,,028 9030 9333,http://www.healybrothers.co.uk,2100,650,,,true
Mallon Brothers Funeral Directors,394 Falls Road,Belfast,BT12 6DJ,028 9043 4777,https://www.mallonbrothers.com,1700,1521,,,true
W J O'Brien & Son Ltd,110 Clooney Road,Eglinton,BT47 3PU,028 7181 0312,https://www.wjobrien.co.uk,1960,1850,,,true
